datetime,precipRate,precipTotal
2026-05-17 00:59:50,0.0,0.0
2026-05-17 01:59:48,0.0,0.0
2026-05-17 02:59:46,4.19,0.71
2026-05-17 03:59:59,4.8,1.7
2026-05-17 04:59:57,3.0,2.79
2026-05-17 05:59:54,5.99,6.3
2026-05-17 06:59:52,4.8,8.89
2026-05-17 07:59:49,5.99,12.4
2026-05-17 08:59:47,1.19,12.4
2026-05-17 09:59:44,0.0,12.4
2026-05-17 10:59:58,0.0,12.4
2026-05-17 11:59:55,0.0,12.4
2026-05-17 12:59:53,0.0,12.4
2026-05-17 13:59:50,18.59,16.0
2026-05-17 14:59:52,5.99,16.69
2026-05-17 15:59:49,0.0,16.69
2026-05-17 16:59:47,0.0,16.69
2026-05-17 17:59:44,3.0,17.5
2026-05-17 18:59:58,3.0,19.3
2026-05-17 19:59:55,1.8,19.81
2026-05-17 20:59:52,0.0,19.81
2026-05-17 21:59:50,0.0,19.81
2026-05-17 22:59:47,0.0,19.81
2026-05-17 23:59:45,3.0,0.71
2026-05-18 00:59:58,1.19,0.71
2026-05-18 01:59:56,1.8,1.3
2026-05-18 02:59:53,1.19,1.5
2026-05-18 03:59:53,4.19,2.49
2026-05-18 04:59:50,1.8,2.79
2026-05-18 05:59:47,0.0,2.79
2026-05-18 06:59:45,0.0,2.79
2026-05-18 07:59:58,0.0,2.79
2026-05-18 08:59:56,0.0,2.79
2026-05-18 09:59:53,0.0,2.79
2026-05-18 10:59:51,0.0,2.79
2026-05-18 11:59:48,0.0,2.79
2026-05-18 12:59:49,0.0,2.79
2026-05-18 13:59:47,0.0,2.79
2026-05-18 14:59:45,0.0,2.79
2026-05-18 15:59:58,0.0,2.79
2026-05-18 16:59:56,0.0,2.79
2026-05-18 17:59:53,0.0,2.79
2026-05-18 18:59:51,0.0,2.79
2026-05-18 19:59:48,0.0,2.79
2026-05-18 20:59:46,0.0,2.79
2026-05-18 21:59:59,0.0,2.79
2026-05-18 22:59:56,0.0,2.79
2026-05-18 23:59:58,3.0,0.51
2026-05-19 00:59:55,30.61,15.19
2026-05-19 01:59:53,3.0,16.99
2026-05-19 02:59:51,3.0,18.49
2026-05-19 03:59:48,3.0,19.51
2026-05-19 04:59:46,1.8,19.99
2026-05-19 05:59:59,0.0,19.99
2026-05-19 06:59:57,0.0,19.99
2026-05-19 07:59:54,0.0,19.99
2026-05-19 08:59:56,0.0,19.99
2026-05-19 09:59:53,0.0,19.99
2026-05-19 10:59:52,0.0,19.99
2026-05-19 11:59:49,0.0,19.99
2026-05-19 12:59:51,0.0,19.99
2026-05-19 13:59:48,0.0,19.99
2026-05-19 14:59:46,0.0,19.99
2026-05-19 15:59:59,0.0,19.99
2026-05-19 16:59:46,0.0,19.99
2026-05-19 17:59:59,0.0,19.99
2026-05-19 18:59:57,0.0,19.99
2026-05-19 19:59:54,0.0,19.99
2026-05-19 20:59:55,0.0,19.99
2026-05-19 21:59:52,0.0,19.99
2026-05-19 22:59:58,0.0,19.99
2026-05-19 23:59:56,0.0,0.0
2026-05-20 00:59:53,0.0,0.0
2026-05-20 01:59:51,0.0,0.0
2026-05-20 02:59:49,0.0,0.0
2026-05-20 03:59:46,0.0,0.0
2026-05-20 04:59:44,0.0,0.0
2026-05-20 05:59:57,0.0,0.0
2026-05-20 06:59:55,0.0,0.0
2026-05-20 07:59:44,0.0,0.0
2026-05-20 08:59:46,0.0,0.0
2026-05-20 09:59:46,0.0,0.0
2026-05-20 10:59:44,0.0,0.0
2026-05-20 11:59:58,0.0,0.0
2026-05-20 12:59:59,0.0,0.0
2026-05-20 13:59:44,0.0,0.0
2026-05-20 14:59:57,0.0,0.0
2026-05-20 15:59:59,0.0,0.0
2026-05-20 16:59:56,0.0,0.0
2026-05-20 17:59:54,0.0,0.0
2026-05-20 18:59:51,0.0,0.0
2026-05-20 19:59:58,0.0,0.0
2026-05-20 20:59:56,0.0,0.0
2026-05-20 21:59:54,0.0,0.0
2026-05-20 22:59:51,0.0,0.0
2026-05-20 23:59:49,0.0,0.0
2026-05-21 00:59:46,0.0,0.0
2026-05-21 01:59:49,0.0,0.0
2026-05-21 02:59:47,0.0,0.0
2026-05-21 03:59:45,0.0,0.0
2026-05-21 04:59:58,0.0,0.0
2026-05-21 05:59:55,0.0,0.0
2026-05-21 06:59:56,0.0,0.0
2026-05-21 07:59:54,0.0,0.0
2026-05-21 08:59:51,0.0,0.0
2026-05-21 09:59:48,0.0,0.0
2026-05-21 10:59:46,0.0,0.0
2026-05-21 11:59:59,0.0,0.0
2026-05-21 12:59:57,0.0,0.0
2026-05-21 13:59:57,0.0,0.0
2026-05-21 14:59:44,0.0,0.0
2026-05-21 15:59:57,0.0,0.0
2026-05-21 16:59:55,0.0,0.0
2026-05-21 17:59:55,0.0,0.0
2026-05-21 18:59:53,0.0,0.0
2026-05-21 19:59:50,0.0,0.0
2026-05-21 20:59:48,0.0,0.0
2026-05-21 21:59:45,0.0,0.0
2026-05-21 22:59:44,0.0,0.0
2026-05-21 23:59:57,0.0,0.0
2026-05-22 00:59:54,0.0,0.0
2026-05-22 01:59:52,0.0,0.0
2026-05-22 02:59:50,0.0,0.0
2026-05-22 03:59:47,0.0,0.0
2026-05-22 04:59:48,0.0,0.0
2026-05-22 05:59:45,0.0,0.0
2026-05-22 06:59:59,0.0,0.0
2026-05-22 07:59:56,0.0,0.0
2026-05-22 08:59:54,0.0,0.0
2026-05-22 09:59:51,0.0,0.0
2026-05-22 10:59:49,0.0,0.0
2026-05-22 11:59:47,0.0,0.0
2026-05-22 12:59:48,0.0,0.0
2026-05-22 13:59:49,0.0,0.0
2026-05-22 14:59:47,0.0,0.0
2026-05-22 15:59:44,0.0,0.0
2026-05-22 16:59:46,3.61,0.79
2026-05-22 17:59:59,5.99,2.79
2026-05-22 18:59:56,4.8,4.6
2026-05-22 19:59:55,1.8,4.9
2026-05-22 20:59:52,0.0,4.9
2026-05-22 21:59:50,0.0,4.9
2026-05-22 22:59:47,0.0,4.9
2026-05-22 23:59:45,0.0,0.0
2026-05-23 00:59:58,0.0,0.0
2026-05-23 01:59:56,0.0,0.0
2026-05-23 02:59:54,0.0,0.0
2026-05-23 03:59:51,0.0,0.0
2026-05-23 04:59:49,0.0,0.0
2026-05-23 05:59:46,0.0,0.0
2026-05-23 06:59:44,0.0,0.0
2026-05-23 07:59:57,0.0,0.0
2026-05-23 08:59:55,0.0,0.0
2026-05-23 09:59:52,0.0,0.0
2026-05-23 10:59:50,0.0,0.0
2026-05-23 11:59:47,0.0,0.0
2026-05-23 12:29:54,0.0,0.0
