datetime,precipRate,precipTotal
2026-05-02 00:59:54,0.0,0.0
2026-05-02 01:59:55,0.0,0.0
2026-05-02 02:59:53,0.0,0.0
2026-05-02 03:59:54,0.0,0.0
2026-05-02 04:59:48,0.0,0.0
2026-05-02 05:59:53,1.8,0.3
2026-05-02 06:59:39,0.0,0.3
2026-05-02 07:38:24,0.0,0.3
2026-05-02 08:59:55,0.0,0.3
2026-05-02 09:59:50,0.0,0.3
2026-05-02 10:59:50,0.0,0.3
2026-05-02 11:59:55,0.0,0.3
2026-05-02 12:59:38,0.0,0.3
2026-05-02 13:59:55,0.0,0.3
2026-05-02 14:59:53,0.0,0.3
2026-05-02 15:59:44,0.0,0.3
2026-05-02 16:59:43,0.0,0.3
2026-05-02 17:59:50,0.0,0.3
2026-05-02 18:59:49,32.41,14.71
2026-05-02 19:59:43,5.41,15.01
2026-05-02 20:59:27,3.61,16.21
2026-05-02 21:59:53,0.0,16.21
2026-05-02 22:59:59,0.0,16.21
2026-05-02 23:59:53,1.8,0.61
2026-05-03 00:59:43,1.8,0.89
2026-05-03 01:59:38,0.0,0.89
2026-05-03 02:59:50,0.0,0.89
2026-05-03 03:59:38,0.0,0.89
2026-05-03 04:59:53,0.0,0.89
2026-05-03 05:59:50,0.0,0.89
2026-05-03 06:59:53,0.0,0.89
2026-05-03 07:59:50,0.0,0.89
2026-05-03 08:59:55,0.0,0.89
2026-05-03 09:59:53,0.0,0.89
2026-05-03 10:59:52,0.0,0.89
2026-05-03 11:59:55,0.0,0.89
2026-05-03 12:59:53,0.0,0.89
2026-05-03 13:59:55,0.0,0.89
2026-05-03 14:59:53,0.0,0.89
2026-05-03 15:59:53,0.0,0.89
2026-05-03 16:59:49,0.0,0.89
2026-05-03 17:59:53,0.0,0.89
2026-05-03 18:59:52,0.0,0.89
2026-05-03 19:59:52,0.0,0.89
2026-05-03 20:59:57,0.0,0.89
2026-05-03 21:59:54,0.0,0.89
2026-05-03 22:59:52,0.0,0.89
2026-05-03 23:59:57,0.0,0.0
2026-05-04 00:59:55,0.0,0.0
2026-05-04 01:59:21,0.0,0.0
2026-05-04 02:59:50,0.0,0.0
2026-05-04 03:59:43,0.0,0.0
2026-05-04 04:59:50,0.0,0.0
2026-05-04 05:59:43,0.0,0.0
2026-05-04 06:59:50,0.0,0.0
2026-05-04 07:59:38,0.0,0.0
2026-05-04 08:59:56,0.0,0.0
2026-05-04 09:59:50,0.0,0.0
2026-05-04 10:59:56,0.0,0.0
2026-05-04 11:59:57,0.0,0.0
2026-05-04 12:59:55,0.0,0.0
2026-05-04 13:59:43,0.0,0.0
2026-05-04 14:59:55,0.0,0.0
2026-05-04 15:59:39,0.0,0.0
2026-05-04 16:59:55,0.0,0.0
